ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_Score,Credit_History,Employment_Status,Education,Property_Area,Age,Loan_Status
15204,4922,512997,120,772,1,Salaried,Graduate,Urban,42,1
19591,981,237082,180,438,1,Unemployed,Not Graduate,Semiurban,29,0
11274,8367,654251,240,896,1,Self_Employed,Graduate,Semiurban,32,1
9692,9727,144289,360,519,0,Unemployed,Graduate,Semiurban,45,0
9028,3764,403766,300,448,0,Self_Employed,Graduate,Semiurban,38,0
2191,3642,428681,360,657,0,Salaried,Not Graduate,Urban,57,0
15362,4206,529421,360,667,1,Self_Employed,Not Graduate,Urban,56,1
4183,5714,408365,360,768,0,Unemployed,Graduate,Urban,33,0
16956,7658,618781,360,894,0,Salaried,Not Graduate,Urban,37,0
8495,4165,428734,120,319,1,Unemployed,Graduate,Urban,41,0
7676,7257,217571,240,630,1,Unemployed,Graduate,Semiurban,35,0
8098,493,411479,240,371,1,Self_Employed,Graduate,Rural,52,0
7485,5400,575625,180,726,1,Unemployed,Not Graduate,Semiurban,59,1
6024,4452,181728,180,747,1,Unemployed,Graduate,Urban,55,1
2327,889,178975,180,779,1,Salaried,Graduate,Rural,57,0
11541,5197,545806,240,762,1,Unemployed,Graduate,Urban,42,1
11913,9740,92506,240,649,0,Salaried,Graduate,Urban,39,0
4704,1137,582777,240,415,1,Unemployed,Graduate,Urban,54,0
1593,2609,615162,180,331,0,Self_Employed,Graduate,Semiurban,21,0
17207,8323,482552,120,403,1,Self_Employed,Graduate,Semiurban,36,0
15213,5024,290714,360,674,1,Salaried,Graduate,Urban,50,1
3967,3187,256154,240,717,0,Self_Employed,Graduate,Semiurban,45,0
5278,1713,589295,240,329,1,Unemployed,Graduate,Rural,37,0
1904,3811,268107,300,719,1,Unemployed,Not Graduate,Rural,21,0
6537,75,253619,240,628,1,Self_Employed,Graduate,Rural,45,0
14763,3089,453364,360,555,0,Self_Employed,Graduate,Semiurban,43,0
1875,68,96564,180,665,1,Unemployed,Graduate,Urban,46,0
17536,6447,231073,300,462,0,Self_Employed,Not Graduate,Urban,28,0
12442,330,582949,360,502,1,Unemployed,Graduate,Semiurban,22,0
18381,6566,393321,120,746,1,Self_Employed,Graduate,Urban,37,1
11130,6772,363263,360,544,0,Unemployed,Graduate,Rural,35,0
10430,3317,692504,240,873,1,Salaried,Not Graduate,Rural,44,1
6015,870,676657,180,522,1,Self_Employed,Graduate,Semiurban,33,0
8229,1572,666186,360,885,1,Unemployed,Not Graduate,Rural,39,1
4790,5597,360639,300,599,1,Salaried,Not Graduate,Urban,39,0
11667,8739,389401,360,782,0,Salaried,Graduate,Urban,57,0
3062,3527,96987,300,455,1,Self_Employed,Graduate,Rural,41,0
19722,960,384000,300,555,1,Unemployed,Graduate,Semiurban,24,0
17580,1032,171072,360,709,0,Unemployed,Not Graduate,Rural,57,0
15940,3011,99569,300,664,1,Unemployed,Not Graduate,Urban,38,1
6236,3068,390366,180,738,1,Salaried,Graduate,Semiurban,43,1
4966,3463,506360,240,714,1,Unemployed,Graduate,Semiurban,39,1
6202,7629,613886,120,884,1,Unemployed,Not Graduate,Rural,56,1
7138,82,58982,360,731,1,Unemployed,Not Graduate,Semiurban,57,1
9353,9745,685072,300,525,1,Salaried,Not Graduate,Semiurban,55,0
17105,3843,383992,240,803,1,Self_Employed,Graduate,Rural,25,1
7034,7432,467528,300,754,1,Self_Employed,Graduate,Rural,51,1
15339,8239,407887,240,549,1,Salaried,Graduate,Rural,54,0
16005,1795,563472,360,774,0,Salaried,Graduate,Semiurban,36,0
7810,4396,281583,300,845,1,Self_Employed,Graduate,Urban,48,1
15121,2123,227212,120,768,0,Unemployed,Not Graduate,Urban,26,0
4487,6449,75982,120,823,0,Unemployed,Not Graduate,Urban,44,0
4792,9266,72008,360,827,0,Self_Employed,Not Graduate,Urban,40,0
7301,9387,55817,300,705,0,Unemployed,Not Graduate,Rural,34,0
12600,4815,454563,360,391,0,Salaried,Graduate,Urban,41,0
10026,3174,187203,240,343,0,Unemployed,Graduate,Semiurban,47,0
9792,4670,621691,360,568,1,Self_Employed,Not Graduate,Rural,52,0
11961,7651,386375,120,674,1,Unemployed,Graduate,Semiurban,36,1
9176,6482,65940,180,302,1,Salaried,Not Graduate,Semiurban,38,0
9294,3390,586050,300,759,1,Self_Employed,Graduate,Urban,59,1
6376,1397,638893,180,690,1,Unemployed,Graduate,Semiurban,39,1
11461,2467,331062,120,515,1,Unemployed,Graduate,Semiurban,59,0
10540,924,596330,180,533,1,Self_Employed,Not Graduate,Urban,37,0
3673,5051,561705,240,522,1,Unemployed,Not Graduate,Urban,46,0
10854,6369,126754,180,489,1,Unemployed,Graduate,Semiurban,34,0
8374,5209,233731,360,548,1,Self_Employed,Graduate,Semiurban,32,0
19063,458,491172,120,342,1,Unemployed,Graduate,Rural,39,0
4257,1537,340095,300,384,0,Salaried,Not Graduate,Urban,38,0
13620,7573,238217,120,643,0,Salaried,Not Graduate,Urban,51,0
5547,5017,563065,360,683,1,Salaried,Not Graduate,Rural,57,1
19935,3722,426294,120,816,1,Unemployed,Not Graduate,Urban,46,1
9345,2680,626140,180,626,0,Unemployed,Graduate,Rural,26,0
19631,1449,86440,180,521,0,Salaried,Graduate,Semiurban,45,0
12596,2258,664857,240,374,0,Self_Employed,Graduate,Rural,58,0
9328,5332,115468,360,388,0,Salaried,Not Graduate,Rural,57,0
5368,1671,221309,360,486,1,Salaried,Graduate,Rural,24,0
6498,8504,533489,300,513,1,Self_Employed,Graduate,Semiurban,23,0
6430,8533,604078,300,630,0,Unemployed,Graduate,Semiurban,49,0
18488,5550,101171,300,501,0,Salaried,Graduate,Rural,22,0
5186,5331,434060,360,593,1,Salaried,Not Graduate,Rural,40,0
14921,9690,363250,240,887,1,Salaried,Not Graduate,Rural,50,1
11045,9911,473362,300,831,0,Salaried,Graduate,Semiurban,57,0
1600,3462,370679,180,784,1,Self_Employed,Not Graduate,Urban,51,0
10537,1416,357939,300,872,0,Salaried,Not Graduate,Semiurban,21,0
7537,7164,199530,300,542,0,Salaried,Graduate,Rural,52,0
17103,6869,654228,360,730,0,Self_Employed,Not Graduate,Semiurban,42,0
16086,4335,661829,120,806,1,Self_Employed,Not Graduate,Semiurban,48,1
10997,677,306043,120,457,0,Self_Employed,Not Graduate,Urban,41,0
17905,5059,654297,180,328,1,Self_Employed,Not Graduate,Urban,24,0
19137,686,222614,300,686,1,Unemployed,Not Graduate,Semiurban,21,1
7602,744,658157,180,821,1,Unemployed,Not Graduate,Semiurban,51,1
4691,425,575825,180,527,1,Unemployed,Not Graduate,Semiurban,43,0
11393,860,201126,300,308,1,Salaried,Graduate,Urban,29,0
9563,3135,508778,180,820,0,Self_Employed,Graduate,Semiurban,30,0
19618,5177,627157,180,559,1,Salaried,Not Graduate,Urban,59,0
8040,9207,340714,240,508,0,Self_Employed,Graduate,Rural,49,0
4918,7780,590972,180,756,1,Unemployed,Not Graduate,Semiurban,28,1
10278,6695,138142,120,501,1,Unemployed,Graduate,Rural,55,0
8746,4801,528040,240,327,1,Self_Employed,Not Graduate,Urban,57,0
10522,9651,86829,360,579,0,Self_Employed,Graduate,Urban,34,0
17419,701,190603,300,544,1,Self_Employed,Not Graduate,Urban,47,0
7782,5829,685979,360,583,0,Salaried,Not Graduate,Semiurban,37,0
2837,9146,531454,300,358,1,Unemployed,Not Graduate,Semiurban,26,0
5047,8543,624229,240,455,1,Self_Employed,Graduate,Semiurban,27,0
15157,936,288018,360,364,0,Self_Employed,Not Graduate,Urban,34,0
18271,2741,178189,120,837,1,Salaried,Graduate,Semiurban,46,1
6745,2567,411525,180,880,1,Salaried,Not Graduate,Semiurban,43,1
5422,8547,548032,300,732,1,Unemployed,Graduate,Semiurban,33,1
2721,8901,115515,360,888,1,Unemployed,Graduate,Urban,45,0
15510,8873,615700,300,728,0,Salaried,Not Graduate,Rural,25,0
3424,8988,501478,180,354,1,Salaried,Graduate,Semiurban,37,0
10401,7414,93686,240,715,1,Self_Employed,Graduate,Urban,28,1
10139,7034,111889,240,403,1,Salaried,Not Graduate,Rural,57,0
18234,2901,286669,120,405,1,Self_Employed,Graduate,Urban,47,0
10356,4875,633029,120,857,0,Salaried,Graduate,Urban,46,0
10116,4611,694962,240,648,0,Salaried,Not Graduate,Rural,46,0
5760,2322,689832,300,739,1,Salaried,Not Graduate,Urban,52,1
10893,6051,374409,300,586,1,Salaried,Not Graduate,Semiurban,47,0
5011,8238,685436,300,727,1,Unemployed,Graduate,Semiurban,21,1
12404,9327,60736,300,443,1,Unemployed,Not Graduate,Urban,59,0
2173,6299,211905,180,840,0,Unemployed,Graduate,Rural,52,0
3438,9270,510484,240,547,0,Salaried,Graduate,Rural,31,0
14250,6767,668270,360,793,1,Unemployed,Not Graduate,Urban,59,1
8803,2451,287053,240,889,1,Salaried,Not Graduate,Semiurban,23,1
19857,7751,622461,120,425,1,Unemployed,Graduate,Urban,38,0
12379,6142,543668,300,751,1,Unemployed,Not Graduate,Urban,25,1
10029,940,425484,240,663,1,Unemployed,Not Graduate,Semiurban,54,1
11530,9838,353123,300,324,1,Self_Employed,Not Graduate,Urban,24,0
9470,2722,129458,300,783,0,Salaried,Graduate,Urban,39,0
17999,4471,252988,180,581,1,Salaried,Graduate,Semiurban,32,0
7219,9120,388179,180,656,1,Unemployed,Graduate,Urban,24,1
12238,4307,610828,300,580,0,Self_Employed,Graduate,Semiurban,28,0
14410,1447,146321,240,772,1,Salaried,Graduate,Urban,55,1
7196,4510,84447,360,573,1,Salaried,Not Graduate,Rural,32,0
4904,3295,169657,180,833,0,Unemployed,Graduate,Rural,57,0
12325,1903,334936,360,897,1,Unemployed,Not Graduate,Urban,55,1
5742,1128,416900,360,548,1,Self_Employed,Graduate,Urban,41,0
19683,6513,200422,300,579,1,Self_Employed,Graduate,Rural,34,0
4191,8895,510810,180,409,1,Salaried,Graduate,Semiurban,33,0
10764,5239,542588,300,630,0,Unemployed,Graduate,Semiurban,48,0
7937,7469,147973,180,721,0,Self_Employed,Not Graduate,Urban,29,0
13904,2231,71032,120,394,0,Unemployed,Not Graduate,Urban,46,0
11209,8054,484345,240,778,0,Self_Employed,Not Graduate,Urban,34,0
11276,869,360967,120,759,1,Unemployed,Not Graduate,Rural,22,1
7753,3541,518027,240,662,0,Unemployed,Not Graduate,Rural,52,0
11694,7830,418358,240,545,0,Salaried,Graduate,Rural,35,0
11919,5531,595972,240,329,0,Unemployed,Graduate,Semiurban,53,0
12301,8045,244715,180,426,1,Self_Employed,Not Graduate,Urban,58,0
12835,1059,106872,180,774,0,Self_Employed,Graduate,Rural,47,0
17718,4973,577844,240,565,1,Self_Employed,Graduate,Semiurban,45,0
13197,7971,511525,120,427,1,Unemployed,Not Graduate,Rural,41,0
6905,4712,397590,360,893,0,Salaried,Graduate,Semiurban,38,0
9766,7363,591772,240,318,1,Salaried,Graduate,Semiurban,47,0
13085,3228,150999,360,782,1,Salaried,Not Graduate,Semiurban,33,1
7507,7931,388424,120,461,0,Self_Employed,Not Graduate,Rural,22,0
5104,299,202522,360,393,0,Salaried,Graduate,Rural,23,0
4780,9859,146497,180,631,0,Unemployed,Not Graduate,Rural,40,0
6662,3979,196929,120,785,0,Unemployed,Not Graduate,Semiurban,47,0
7118,9686,115713,180,803,1,Salaried,Graduate,Semiurban,58,1
17912,1770,367420,360,637,1,Self_Employed,Not Graduate,Urban,28,0
2934,8324,439156,300,567,1,Salaried,Graduate,Rural,43,0
4403,9885,193880,120,325,1,Unemployed,Not Graduate,Urban,25,0
4752,316,96473,300,887,0,Unemployed,Graduate,Urban,47,0
7948,6572,640307,240,659,0,Unemployed,Not Graduate,Semiurban,34,0
15774,8194,490705,300,421,1,Salaried,Not Graduate,Urban,25,0
8926,1093,297188,180,696,1,Salaried,Graduate,Urban,43,1
13136,9775,388521,180,640,1,Unemployed,Graduate,Urban,57,0
14645,9420,255765,360,716,0,Salaried,Graduate,Rural,32,0
15192,1681,695440,360,357,1,Salaried,Not Graduate,Rural,32,0
2112,2127,602958,240,866,1,Salaried,Graduate,Semiurban,29,0
5686,5016,291767,180,301,1,Self_Employed,Not Graduate,Urban,59,0
11238,7784,487562,120,865,1,Self_Employed,Not Graduate,Semiurban,49,1
11965,9731,560918,240,890,1,Salaried,Not Graduate,Urban,51,1
10620,3772,390497,300,343,1,Unemployed,Not Graduate,Semiurban,44,0
13053,2416,515701,120,383,1,Salaried,Graduate,Rural,35,0
10614,1183,682414,240,501,1,Self_Employed,Not Graduate,Semiurban,52,0
1599,7987,163849,300,334,0,Self_Employed,Graduate,Urban,43,0
3854,97,366402,120,690,0,Salaried,Graduate,Rural,38,0
14522,1895,68289,360,321,0,Self_Employed,Not Graduate,Rural,36,0
3108,9534,417305,180,498,1,Salaried,Graduate,Semiurban,57,0
9219,7816,644700,300,763,0,Self_Employed,Not Graduate,Urban,34,0
12998,7299,361185,180,411,0,Self_Employed,Not Graduate,Rural,22,0
15447,6251,681456,300,377,0,Salaried,Not Graduate,Rural,29,0
18168,8361,313551,180,732,1,Unemployed,Graduate,Rural,34,1
13422,5430,81619,300,730,1,Self_Employed,Graduate,Urban,37,1
16008,4377,64453,180,609,1,Salaried,Not Graduate,Semiurban,38,0
17583,3949,243189,360,842,1,Self_Employed,Graduate,Rural,34,1
12562,71,108868,180,589,0,Unemployed,Graduate,Rural,39,0
17884,3816,168471,300,479,1,Self_Employed,Graduate,Semiurban,50,0
7351,9151,676926,180,607,0,Self_Employed,Graduate,Urban,59,0
15679,5469,162317,180,602,0,Self_Employed,Graduate,Rural,35,0
12181,8958,584021,240,650,1,Salaried,Graduate,Rural,58,0
3598,4037,234465,300,858,0,Self_Employed,Not Graduate,Rural,30,0
16078,9766,358498,180,532,0,Self_Employed,Not Graduate,Urban,28,0
6466,1987,356706,300,642,1,Unemployed,Graduate,Semiurban,38,0
3568,1287,440993,240,876,1,Salaried,Not Graduate,Semiurban,54,0
8327,370,290161,300,335,1,Self_Employed,Not Graduate,Rural,49,0
14418,5015,282074,300,888,1,Unemployed,Not Graduate,Semiurban,26,1
7104,3288,246913,300,578,1,Salaried,Not Graduate,Urban,53,0
13893,4082,207828,120,745,1,Unemployed,Not Graduate,Rural,36,1
9374,5427,693944,180,403,1,Self_Employed,Not Graduate,Semiurban,22,0
3307,9912,328642,120,858,1,Salaried,Not Graduate,Rural,42,0
16381,9515,199733,180,860,1,Self_Employed,Not Graduate,Semiurban,25,1
3432,7073,607820,180,392,0,Unemployed,Graduate,Urban,57,0
5473,2922,317759,240,377,1,Unemployed,Not Graduate,Rural,58,0
1766,7888,657719,120,318,1,Unemployed,Graduate,Urban,42,0
12770,4335,243553,120,569,1,Salaried,Not Graduate,Rural,48,0
6882,6709,165258,360,626,1,Salaried,Not Graduate,Semiurban,49,0
10306,9599,322546,240,394,0,Unemployed,Not Graduate,Semiurban,53,0
14119,9272,168747,180,625,0,Self_Employed,Not Graduate,Rural,56,0
9000,5263,519634,180,642,1,Self_Employed,Not Graduate,Semiurban,35,0
6265,336,445757,360,490,1,Self_Employed,Not Graduate,Rural,37,0
10319,4457,145558,180,760,1,Salaried,Not Graduate,Semiurban,30,1
5985,9876,525667,120,343,1,Salaried,Graduate,Rural,36,0
3783,1451,297725,360,754,0,Unemployed,Graduate,Urban,41,0
12826,4505,215711,360,852,0,Unemployed,Graduate,Rural,48,0
16395,128,356613,180,711,1,Unemployed,Graduate,Rural,46,1
18004,6267,201503,180,599,1,Salaried,Graduate,Rural,37,0
15598,2471,162327,360,317,0,Self_Employed,Graduate,Rural,21,0
16181,386,618168,120,347,1,Unemployed,Graduate,Rural,21,0
18106,1222,513676,180,504,1,Self_Employed,Graduate,Semiurban,34,0
5176,2947,276852,180,731,1,Self_Employed,Graduate,Rural,56,1
11845,8973,242412,360,571,1,Unemployed,Not Graduate,Semiurban,27,0
12977,884,226556,240,765,1,Self_Employed,Graduate,Rural,45,1
13282,7499,106878,120,567,1,Salaried,Not Graduate,Semiurban,53,0
14400,8048,565465,180,813,0,Self_Employed,Graduate,Rural,21,0
10614,656,351412,180,402,1,Self_Employed,Graduate,Rural,57,0
8826,1214,575399,240,355,1,Unemployed,Not Graduate,Urban,59,0
9057,7560,379891,180,573,1,Self_Employed,Graduate,Rural,34,0
15979,8219,632674,300,668,0,Unemployed,Not Graduate,Semiurban,24,0
14747,4998,134558,360,487,1,Unemployed,Graduate,Semiurban,59,0
13249,4650,453492,180,893,1,Self_Employed,Not Graduate,Urban,30,1
12801,2692,248472,300,385,1,Unemployed,Graduate,Rural,33,0
17485,7144,219975,180,614,0,Unemployed,Not Graduate,Rural,33,0
13883,3817,402875,360,556,1,Salaried,Graduate,Semiurban,55,0
16188,8591,352568,300,894,0,Salaried,Not Graduate,Urban,35,0
4044,1980,505957,300,840,1,Salaried,Graduate,Semiurban,34,1
16044,7717,115851,360,315,1,Unemployed,Not Graduate,Rural,57,0
7932,4614,206911,240,784,1,Unemployed,Graduate,Urban,26,1
1562,2874,643376,240,600,1,Unemployed,Not Graduate,Urban,21,0
17692,1945,182681,360,651,1,Salaried,Graduate,Semiurban,35,1
7990,1612,491144,180,570,1,Salaried,Graduate,Semiurban,46,0
3523,4146,81723,120,332,1,Self_Employed,Not Graduate,Urban,47,0
9842,177,360039,180,348,1,Self_Employed,Not Graduate,Semiurban,34,0
4352,1436,690348,300,686,0,Self_Employed,Not Graduate,Semiurban,43,0
18011,9210,180370,120,407,1,Salaried,Not Graduate,Urban,56,0
3008,2497,456292,300,354,1,Salaried,Graduate,Rural,35,0
11489,3692,346278,300,383,1,Self_Employed,Graduate,Semiurban,37,0
17208,9266,388528,360,884,1,Unemployed,Not Graduate,Urban,35,1
13517,2439,65800,240,899,0,Self_Employed,Not Graduate,Semiurban,38,0
13672,2736,689572,240,386,0,Salaried,Not Graduate,Urban,38,0
3522,4590,612009,240,389,1,Salaried,Graduate,Rural,25,0
2092,1174,137461,240,661,0,Self_Employed,Not Graduate,Urban,37,0
18908,782,621480,120,676,1,Unemployed,Graduate,Semiurban,55,1
6169,8511,648867,240,570,0,Self_Employed,Not Graduate,Rural,55,0
12908,1877,290055,360,892,0,Salaried,Graduate,Semiurban,24,0
11596,4660,198138,180,325,0,Unemployed,Not Graduate,Urban,34,0
11173,391,478635,300,741,1,Self_Employed,Not Graduate,Urban,29,1
9264,3108,538795,180,516,1,Self_Employed,Not Graduate,Semiurban,56,0
1616,7878,274029,120,637,1,Unemployed,Graduate,Urban,21,0
9435,2452,606373,360,363,1,Salaried,Not Graduate,Rural,48,0
2324,2598,565138,300,414,0,Self_Employed,Graduate,Semiurban,48,0
9621,6532,375016,120,465,1,Unemployed,Not Graduate,Urban,30,0
5093,9954,644129,360,685,0,Unemployed,Graduate,Rural,22,0
14280,251,429469,300,580,1,Self_Employed,Graduate,Rural,56,0
3776,8974,107065,240,721,1,Unemployed,Not Graduate,Rural,56,0
3363,4839,386797,300,836,1,Salaried,Not Graduate,Rural,58,0
17651,6159,539839,120,360,0,Salaried,Not Graduate,Urban,56,0
9699,7640,259799,120,531,1,Self_Employed,Graduate,Urban,45,0
8153,8846,120970,300,754,0,Unemployed,Not Graduate,Urban,43,0
10482,6026,84715,360,535,1,Self_Employed,Not Graduate,Rural,58,0
3390,4854,522988,360,762,1,Unemployed,Graduate,Urban,46,0
3116,7428,644774,240,516,1,Unemployed,Graduate,Semiurban,25,0
17419,564,235412,120,788,0,Self_Employed,Graduate,Semiurban,34,0
2126,3893,254739,240,849,1,Self_Employed,Not Graduate,Semiurban,34,0
16359,9693,554088,240,840,1,Self_Employed,Not Graduate,Rural,43,1
13763,835,446519,360,430,0,Self_Employed,Not Graduate,Rural,43,0
3638,9434,61913,240,740,1,Salaried,Graduate,Rural,56,0
8521,3452,116409,180,763,1,Self_Employed,Graduate,Urban,33,1
17687,9986,360516,240,308,1,Unemployed,Graduate,Rural,37,0
14412,2236,100772,240,574,0,Self_Employed,Graduate,Urban,44,0
6017,2557,612571,120,522,1,Salaried,Graduate,Rural,24,0
10129,6679,594966,300,427,1,Salaried,Not Graduate,Urban,31,0
13028,6172,263340,240,892,1,Unemployed,Graduate,Urban,31,1
8508,3649,229053,240,689,0,Self_Employed,Graduate,Rural,38,0
19629,1092,191479,300,472,0,Unemployed,Graduate,Urban,44,0
9792,5156,637321,120,898,0,Unemployed,Not Graduate,Semiurban,44,0
2909,9240,253002,120,801,1,Self_Employed,Not Graduate,Semiurban,51,0
2265,7509,401131,180,848,1,Unemployed,Graduate,Rural,44,0
6497,6130,597980,360,413,1,Unemployed,Graduate,Urban,48,0
14292,7743,217744,120,443,1,Self_Employed,Not Graduate,Semiurban,31,0
7556,1316,104917,120,668,0,Unemployed,Not Graduate,Semiurban,41,0
4210,8043,485895,180,756,1,Salaried,Not Graduate,Rural,30,1
16091,6569,92367,300,331,1,Salaried,Graduate,Urban,26,0
11488,2961,416602,120,345,1,Unemployed,Graduate,Rural,51,0
8518,6431,258541,120,321,1,Unemployed,Graduate,Urban,50,0
1623,8698,363663,240,892,1,Unemployed,Graduate,Urban,48,0
17311,9842,129664,360,462,1,Unemployed,Graduate,Rural,39,0
7960,5100,699192,300,693,1,Self_Employed,Not Graduate,Urban,28,1
19513,178,281634,240,649,1,Salaried,Graduate,Rural,35,0
7172,8976,259071,360,566,0,Unemployed,Graduate,Urban,21,0
10925,7964,699149,300,676,1,Salaried,Graduate,Rural,21,1
2820,3199,575450,360,858,0,Salaried,Graduate,Urban,31,0
15895,8651,587747,300,394,1,Salaried,Not Graduate,Semiurban,37,0
4038,160,303005,120,455,1,Salaried,Graduate,Urban,40,0
11194,4569,51987,300,737,1,Self_Employed,Not Graduate,Urban,35,1
16061,4646,201076,180,880,1,Unemployed,Not Graduate,Semiurban,23,1
9274,8524,219475,240,509,1,Self_Employed,Graduate,Urban,21,0
13441,9280,692467,180,601,1,Salaried,Graduate,Urban,26,0
11956,1174,550679,360,566,0,Salaried,Not Graduate,Urban,42,0
8511,6276,376740,360,451,1,Salaried,Graduate,Semiurban,45,0
9337,1426,573100,180,790,1,Unemployed,Not Graduate,Semiurban,57,1
17651,10,336280,300,381,1,Salaried,Graduate,Urban,58,0
2908,8498,677720,240,489,0,Self_Employed,Not Graduate,Rural,30,0
2611,5085,460065,120,738,1,Salaried,Not Graduate,Rural,50,0
5377,2771,363297,240,659,0,Self_Employed,Graduate,Semiurban,50,0
15157,3,461004,240,417,1,Self_Employed,Graduate,Semiurban,37,0
16994,7176,525103,300,402,1,Self_Employed,Not Graduate,Semiurban,47,0
16052,7130,141357,360,519,1,Unemployed,Not Graduate,Semiurban,24,0
19411,1618,185609,300,323,0,Salaried,Not Graduate,Rural,44,0
19205,7748,139460,300,845,1,Salaried,Graduate,Semiurban,26,1
5452,6506,681523,120,720,1,Self_Employed,Graduate,Rural,49,1
4615,7517,108930,360,677,1,Unemployed,Not Graduate,Urban,32,1
19018,3107,448179,360,636,1,Unemployed,Graduate,Urban,48,0
4463,4666,452000,120,511,1,Self_Employed,Graduate,Semiurban,44,0
15602,4739,486635,240,794,0,Unemployed,Graduate,Rural,27,0
9575,2246,638384,360,676,0,Unemployed,Not Graduate,Urban,49,0
16765,7234,492818,180,682,1,Self_Employed,Graduate,Semiurban,29,1
5878,1719,243618,180,865,1,Salaried,Not Graduate,Urban,33,1
12963,6587,480296,180,453,1,Salaried,Graduate,Semiurban,43,0
14027,5795,596944,240,692,1,Self_Employed,Not Graduate,Semiurban,41,1
5952,5379,521661,180,329,1,Unemployed,Graduate,Rural,58,0
8243,3058,418060,120,635,1,Unemployed,Graduate,Rural,52,0
11121,2882,194584,360,364,1,Self_Employed,Graduate,Rural,54,0
7130,5630,72615,120,744,1,Unemployed,Graduate,Rural,26,1
13028,583,283985,360,545,0,Salaried,Graduate,Urban,52,0
4866,3082,145483,120,355,1,Self_Employed,Not Graduate,Urban,54,0
8578,5311,394413,120,439,1,Salaried,Not Graduate,Semiurban,29,0
10304,7547,651074,300,798,1,Self_Employed,Not Graduate,Rural,53,1
2071,5497,476418,240,642,0,Self_Employed,Graduate,Rural,22,0
18785,8197,648993,120,526,0,Self_Employed,Not Graduate,Semiurban,39,0
7682,7464,138275,240,773,1,Unemployed,Not Graduate,Semiurban,50,1
13439,8628,211917,240,671,1,Salaried,Graduate,Urban,50,1
17805,3521,189771,300,524,0,Self_Employed,Graduate,Urban,47,0
7339,389,443966,120,496,0,Unemployed,Not Graduate,Urban,26,0
10981,8424,148850,120,737,1,Self_Employed,Not Graduate,Semiurban,26,1
13779,1610,319793,180,467,0,Salaried,Not Graduate,Rural,54,0
8800,8530,568950,240,356,0,Salaried,Graduate,Rural,59,0
11322,2492,551490,300,410,0,Unemployed,Not Graduate,Urban,21,0
2791,6463,672953,240,629,1,Salaried,Not Graduate,Urban,41,0
4032,6779,558721,120,623,1,Unemployed,Not Graduate,Urban,54,0
3629,8489,568652,180,502,0,Salaried,Graduate,Rural,35,0
13730,5661,326356,120,450,1,Salaried,Not Graduate,Rural,23,0
19595,2748,99363,360,584,1,Self_Employed,Not Graduate,Semiurban,48,0
13680,4916,364163,180,644,0,Unemployed,Graduate,Urban,29,0
7302,4633,652965,300,816,1,Salaried,Not Graduate,Semiurban,58,1
9558,659,270292,300,896,1,Salaried,Not Graduate,Urban,40,1
19053,8032,162345,240,393,1,Salaried,Graduate,Rural,23,0
8113,9461,257741,240,411,1,Self_Employed,Not Graduate,Rural,28,0
18067,8795,646211,180,736,1,Unemployed,Graduate,Rural,56,1
17472,3226,182536,120,442,1,Unemployed,Graduate,Rural,35,0
5707,7736,178804,180,752,0,Salaried,Graduate,Urban,54,0
13758,7480,304175,360,387,1,Self_Employed,Graduate,Rural,28,0
7741,3868,583871,180,815,1,Salaried,Graduate,Rural,37,1
17740,3031,335625,180,741,1,Unemployed,Graduate,Urban,45,1
8637,8658,531145,360,886,1,Unemployed,Graduate,Rural,51,1
15349,961,468173,120,762,1,Self_Employed,Graduate,Rural,59,1
6717,6741,491566,360,446,0,Salaried,Not Graduate,Semiurban,28,0
6971,3362,392665,180,747,0,Salaried,Graduate,Urban,58,0
16437,8797,641313,240,388,0,Unemployed,Not Graduate,Urban,40,0
13620,5869,489480,300,584,0,Self_Employed,Not Graduate,Urban,36,0
4098,2018,244717,120,706,0,Salaried,Not Graduate,Semiurban,48,0
5647,9758,184562,120,484,1,Salaried,Graduate,Semiurban,31,0
10732,3867,183099,360,564,1,Self_Employed,Graduate,Rural,38,0
3382,391,351946,240,510,1,Salaried,Graduate,Rural,52,0
14218,8140,526075,180,811,1,Unemployed,Not Graduate,Urban,53,1
9302,7517,302794,240,542,1,Self_Employed,Not Graduate,Rural,49,0
2145,3748,646502,360,537,1,Self_Employed,Not Graduate,Semiurban,26,0
5539,4262,424747,120,478,1,Salaried,Not Graduate,Semiurban,47,0
11135,8284,423777,180,395,1,Unemployed,Graduate,Urban,54,0
17746,6359,473679,360,695,0,Self_Employed,Not Graduate,Urban,58,0
12431,9637,345924,300,521,0,Self_Employed,Graduate,Semiurban,31,0
13122,3988,73129,300,731,0,Self_Employed,Graduate,Semiurban,27,0
2261,781,565451,300,581,1,Salaried,Graduate,Rural,58,0
10639,4205,423767,120,876,0,Self_Employed,Graduate,Rural,52,0
6291,9896,330768,120,677,0,Salaried,Not Graduate,Semiurban,50,0
2125,3561,361537,240,885,1,Salaried,Not Graduate,Urban,44,0
10087,4154,422652,240,478,1,Self_Employed,Graduate,Semiurban,41,0
7337,9289,590247,300,615,0,Salaried,Not Graduate,Semiurban,35,0
13654,2609,142162,360,351,1,Self_Employed,Graduate,Semiurban,23,0
4883,4369,559883,300,517,1,Unemployed,Graduate,Semiurban,27,0
4055,8497,235929,180,618,1,Unemployed,Not Graduate,Urban,41,0
